seq,commit_ts,op,tarjeta,perfil,zona_residencia,estado
1,2026-06-01T08:50:00,INSERT,TC-00029030,trabajador,Zona 12,ACTIVA
2,2026-06-01T16:51:00,INSERT,SIN-TARJETA,trabajador,Villa Nueva,ACTIVA
3,2026-06-01T14:20:00,INSERT,TC-00051500,estudiante,Zona 13,ACTIVA
4,2026-06-01T06:31:00,INSERT,TC-00041197,general,Zona 11,ACTIVA
5,2026-06-01T23:34:00,INSERT,TC-00019513,adulto_mayor,Zona 1,ACTIVA
6,2026-06-01T15:47:00,INSERT,SIN-TARJETA,general,Zona 8,ACTIVA
7,2026-06-01T04:53:00,INSERT,MR0055590,adulto_mayor,Zona 6,ACTIVA
8,2026-06-01T03:54:00,INSERT,TC-00048976,estudiante,Zona 18,ACTIVA
9,2026-06-01T16:25:00,INSERT,MR0005006,adulto_mayor,Zona 1,ACTIVA
10,2026-06-01T23:23:00,INSERT,TC-00026567,general,Zona 17,ACTIVA
11,2026-06-01T03:11:00,INSERT,TC-00002529,trabajador,Zona 17,ACTIVA
12,2026-06-01T01:47:00,INSERT,TC-00011308,trabajador,Zona 11,ACTIVA
13,2026-06-01T13:37:00,INSERT,TC-00017446,trabajador,Zona 9,ACTIVA
14,2026-06-01T16:47:00,INSERT,0000057656,estudiante,Zona 12,ACTIVA
15,2026-06-01T02:30:00,INSERT,MR0022465,trabajador,Villa Nueva,ACTIVA
16,2026-06-01T21:22:00,INSERT,TC-00022110,trabajador,Villa Nueva,ACTIVA
17,2026-06-01T08:45:00,INSERT,TC-00004177,trabajador,Zona 8,ACTIVA
18,2026-06-01T05:24:00,INSERT,TC-00056699,estudiante,Mixco,ACTIVA
19,2026-06-01T01:13:00,INSERT,TC-00001063,estudiante,Zona 6,ACTIVA
20,2026-06-01T02:41:00,INSERT,TC-00051672,general,Villa Nueva,ACTIVA
21,2026-06-01T06:19:00,INSERT,TC-00045149,general,Zona 12,ACTIVA
22,2026-06-01T17:41:00,INSERT,TC-00031219,trabajador,San Miguel Petapa,ACTIVA
23,2026-06-01T03:09:00,INSERT,TC-00023051,trabajador,Zona 12,ACTIVA
24,2026-06-01T15:33:00,INSERT,SIN-TARJETA,general,Santa Catarina Pinula,ACTIVA
25,2026-06-01T09:57:00,INSERT,TC-00053933,estudiante,Villa Nueva,ACTIVA
26,2026-06-01T07:22:00,INSERT,TC-00007747,estudiante,Santa Catarina Pinula,ACTIVA
27,2026-06-01T13:06:00,INSERT,SIN-TARJETA,general,Santa Catarina Pinula,ACTIVA
28,2026-06-01T14:08:00,INSERT,TC-00037335,general,Zona 1,ACTIVA
29,2026-06-01T16:33:00,INSERT,TC-00058536,estudiante,Zona 6,ACTIVA
30,2026-06-01T18:08:00,INSERT,SIN-TARJETA,general,Zona 13,ACTIVA
31,2026-06-01T08:21:00,INSERT,0000024216,trabajador,Zona 7,ACTIVA
32,2026-06-01T08:34:00,INSERT,0000022067,general,Zona 11,ACTIVA
